,FiscalYear,EGTotal,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1501p,1502p,1503p,1504p,1505p,1506p,1507p,1508p,1509p,1510p,1511p,1512p
0,2010,94855572,11476718,13771086,5199771,12692675,8100864,5936325,6011720,3813412,6017028,7564105,7681281,6590587,0.12099150063635693,0.14517951565354537,0.054817770747299904,0.13381053671786408,0.08540208897796747,0.06258277584367948,0.06337761581364983,0.04020229828986746,0.06343357457166565,0.07974339135290862,0.08097870096655999,0.06948023042863523
1,2011,151053609,20210879,22653387,8689151,18351249,12007325,8607347,11272365,6834781,10042577,12000625,10762235,9621688,0.13379937847099038,0.14996918742934504,0.05752362394730999,0.12148831875973251,0.07949048738054315,0.05698206786969254,0.07462493001408527,0.04524738631037938,0.06648352903637013,0.07944613226685633,0.07124778461930029,0.06369717389539498
2,2012,212551891,28921457,32674906,12269849,23144351,16835004,13479600,16811673,10187618,13814727,17492640,14022438,12897628,0.13606774733422625,0.15372672454840686,0.05772636951039876,0.10888800325940172,0.07920420712700223,0.06341792555494132,0.0790944409899416,0.047930027590297936,0.06499460877532254,0.08229820924058492,0.06597183367331227,0.06067990239616358
3,2013,267376916,36434856,40532520,16826548,29263490,21990384,17284747,20918498,13480881,17420337,21230243,16501894,15492518,0.13626776965293444,0.15159319138829472,0.06293193986873571,0.10944658363850678,0.08224488609181206,0.06464562183819937,0.07823599102324899,0.05041901597817816,0.06515273367877428,0.07940192937224244,0.06171772136080738,0.057942616108265683
4,2014,334278989,44953206,50470284,20930917,36390768,27967408,22945355,26043563,16235610,21897978,26282574,20675003,19486323,0.13447810804525318,0.1509825195743906,0.06261511398791504,0.10886346195093943,0.08366486952609516,0.06864133180682798,0.07790966186032111,0.048569041232800904,0.06550808971125613,0.07862466641599182,0.06184954388503311,0.05829359200317553
5,2015,315162570,43666701,48891855,20407448,33221628,25483042,21444990,25038651,16354650,20616062,24150858,18765386,17121299,0.13855294110591876,0.15513217511838415,0.0647521309399146,0.10541108355602,0.08085681621393048,0.06804421603745647,0.07944677884813542,0.051892742212376296,0.06541405599021483,0.07662984217954562,0.05954192466446761,0.05432529313363576
6,2016,328896525,46797775,50989765,21157387,34063109,25744603,22245924,25826388,17231868,22121906,24967665,18890831,18859304,0.1422872284831833,0.15503284809713327,0.06432839933471476,0.10356785922259289,0.07827569172401563,0.06763806336962666,0.07852435655864713,0.05239297678806427,0.0672609903677152,0.07591343508418034,0.05743700393307591,0.057341147037050635
