2010,1501,11476718
2010,1502,13771086
2010,1503,5199771
2010,1504,12692675
2010,1505,8100864
2010,1506,5936325
2010,1507,6011720
2010,1508,3813412
2010,1509,6017028
2010,1510,7564105
2010,1511,7681281
2010,1512,6590587
2011,1501,20210879
2011,1502,22653387
2011,1503,8689151
2011,1504,18351249
2011,1505,12007325
2011,1506,8607347
2011,1507,11272365
2011,1508,6834781
2011,1509,10042577
2011,1510,12000625
2011,1511,10762235
2011,1512,9621688
2012,1501,28921457
2012,1502,32674906
2012,1503,12269849
2012,1504,23144351
2012,1505,16835004
2012,1506,13479600
2012,1507,16811673
2012,1508,10187618
2012,1509,13814727
2012,1510,17492640
2012,1511,14022438
2012,1512,12897628
2013,1501,36434856
2013,1502,40532520
2013,1503,16826548
2013,1504,29263490
2013,1505,21990384
2013,1506,17284747
2013,1507,20918498
2013,1508,13480881
2013,1509,17420337
2013,1510,21230243
2013,1511,16501894
2013,1512,15492518
2014,1501,44953206
2014,1502,50470284
2014,1503,20930917
2014,1504,36390768
2014,1505,27967408
2014,1506,22945355
2014,1507,26043563
2014,1508,16235610
2014,1509,21897978
2014,1510,26282574
2014,1511,20675003
2014,1512,19486323
2015,1501,43666701
2015,1502,48891855
2015,1503,20407448
2015,1504,33221628
2015,1505,25483042
2015,1506,21444990
2015,1507,25038651
2015,1508,16354650
2015,1509,20616062
2015,1510,24150858
2015,1511,18765386
2015,1512,17121299
2016,1501,46797775
2016,1502,50989765
2016,1503,21157387
2016,1504,34063109
2016,1505,25744603
2016,1506,22245924
2016,1507,25826388
2016,1508,17231868
2016,1509,22121906
2016,1510,24967665
2016,1511,18890831
2016,1512,18859304
