ProgramNameEN,FiscalYear,AwardAmount
Subatomic Physics Envelope - Research Tools and Instruments,2002,3133632
Banting Postdoctoral Fellowships,2012,3129065
Industrial Research Fellowships,1996,3091445
Subatomic Physics Envelope - Research Tools and Instruments,1998,3087547
Subatomic Physics Envelope - Individual,2003,3082393
Discovery Grants Program - Institutes and Initiatives,2007,3069300
Intellectual Property Mobilization - Infrastructure,2005,3066969
Industrial Postgraduate Scholarships,1998,3059730
"Research Tools and Instruments - Category 3 (>$325,000)",1997,3053179
Industrial Research Fellowships,1999,3046423
Intellectual Property Mobilization - Infrastructure,2000,3031713
PromoScience,2013,3030908
Industrial Research Fellowships,1997,3004953
Subatomic Physics Envelope - Research Tools and Instruments,1997,2977405
Discovery Grants Program - Group,2001,2974767
Banting Postdoctoral Fellowships Tri-council                                                        ,2015,2970528
Collaborative Research and Training Experience                                                      ,2009,2966876
Banting Postdoctoral Fellowships Tri-council                                                        ,2016,2940000
Subatomic Physics Envelope - Research Tools and Instruments,2003,2927000
Strategic Grants - Individual (H),1997,2924093
Subatomic Physics Envelope - Major Resources Support Program,2010,2912808
Industrial Postgraduate Scholarships,1996,2880410
Subatomic Physics Envelope - Individual,1995,2872656
Intellectual Property Mobilization - Infrastructure,1999,2863625
Collaborative Research Opportunities Grants,2005,2863422
Industrial Research Fellowships,1998,2861896
Intellectual Property Mobilization - Infrastructure,2004,2850307
Subatomic Physics Envelope - Major Resources Support Program,2011,2849195
PromoScience,2007,2848647
Industrial Undergraduate Student Research Awards,2002,2845739
Postgraduate Scholarships - Master's,2013,2827442
Discovery Grants Program - Group,2006,2815511
Intellectual Property Mobilization - Infrastructure,2001,2811896
Intellectual Property Mobilization - Infrastructure,2003,2785250
Chairs in Design Engineering - Research,2011,2777570
PromoScience,2011,2764875
Discovery Grants Program - Group,2000,2759867
Industrial Postgraduate Scholarships,1999,2747402
PromoScience,2012,2744648
PromoScience,2009,2740285
Banting Postdoctoral Fellowships Tri-council                                                        ,2014,2738884
PromoScience,2006,2723860
PromoScience,2008,2711200
Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years                                   ,2013,2700000
Vanier Canada Graduate Scholarships - Doctoral                                                      ,2009,2700000
PromoScience,2010,2692839
University Undergraduate Student Research Awards,1995,2692062
College - University Idea to Innovation Grants,2014,2664729
Thematic Resources Support in Mathematics and Statistics            ,2014,2656500
Industrial Research Chairs for Colleges Grants,2011,2646234
Collaborative Research Opportunities Grants,2000,2644582
Subatomic Physics Envelope - Individual,2002,2634483
PromoScience,2004,2624960
Discovery Grants Program - Accelerator Supplements,2007,2619400
PromoScience,2005,2605010
Chairs in Design Engineering - Research,2016,2582384
Subatomic Physics Envelope - Major Resources Support Program,2012,2572432
Subatomic Physics Envelope - Individual,2001,2572134
Subatomic Physics Envelope - Individual,1996,2564600
Special Research Opportunity Program - Project,2004,2539779
Vanier Canada Graduate Scholarships - Doctoral                                                      ,2014,2532501
Applied Research and Development Grants - Level 2,2013,2530024
Chairs in Design Engineering - Research,2004,2527138
Subatomic Physics Envelope - Individual,1999,2518716
Collaborative Health Research Projects,1999,2505329
Subatomic Physics Envelope - Individual,2000,2472808
Discovery Grants Program - Group,2007,2467139
Subatomic Physics Envelope - Individual,1997,2458200
Discovery Grants Program - Group,1998,2454187
Discovery Grants Program - Group,1996,2449536
NRC-NSERC-BDC Nanotechnology Initiative,2009,2434750
Discovery Grants Program - Group,1995,2433532
University Faculty Award,2001,2423000
Subatomic Physics Envelope - Individual,1998,2417690
Discovery Grants Program - Group,1999,2412338
NRC-NSERC-BDC Nanotechnology Initiative,2007,2407750
Subatomic Physics Envelope - Major Resources Support Program,2015,2389443
Industrial Undergraduate Student Research Awards,2001,2384249
"NSERC/Energy Sector, Natural Resources Canada",2005,2364377
Subatomic Physics Envelope - Research Tools and Instruments,2001,2360500
College - University Idea to Innovation Grants,2013,2356166
Genomics Projects,1999,2338392
Chairs in Design Engineering - Research,2009,2329511
Collaborative Research Opportunities Grants,1999,2318872
1967 Science and Engineering Scholarships,1996,2318070
Alexander Graham Bell Canada Graduate Scholarships - Master's,2003,2310000
Discovery Grants Program - Group,2008,2307265
Subatomic Physics Envelope - Major Resources Support Program,2008,2306895
Technology Access Centre,2012,2297937
Subatomic Physics Envelope - Major Resources Support Program,2013,2294500
Subatomic Physics Envelope - Major Resources Support Program,2014,2283500
Subatomic Physics Envelope - Major Resources Support Program,2016,2280000
Discovery Grants Program - Group,2009,2260994
PromoScience,2003,2257806
Chairs in Design Engineering - Research,2013,2243809
Discovery Grants Program - Group,2010,2238808
Industrial Undergraduate Student Research Awards,2000,2211577
Intellectual Property Mobilization - Infrastructure,2002,2211250
Postgraduate Scholarships - Master's,2011,2206831
Industrial Research Fellowships,2011,2206522
NRC-NSERC-BDC Nanotechnology Initiative,2008,2195950
Discovery Grants Program - Group,2011,2192780
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",1997,2192555
Research Capacity Development in Small Universities,2007,2175000
Discovery Grants Program - Group,2012,2163518
Technology Access Centre,2014,2137800
Special Research Opportunity Program - Northern Research,2008,2119974
Chairs in Design Engineering - Research,2010,2114575
Discovery Grants Program - Northern Research Supplement,2016,2110620
Discovery Grants Program - Northern Research Supplement,2015,2107390
Chairs in Design Engineering - Research,2012,2097561
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2012,2082546
Research Capacity Development in Small Universities,2008,2074000
Applied Research and Development Grants - Level 1,2012,2068564
Miscellaneous Grants,1997,2063245
College - University Idea to Innovation Grants,2016,2058016
Industrial R&D Fellowships (IRDF),2016,2055363
Research Capacity Development in Small Universities,2005,2053000
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",1996,2051372
College and Community Innovation Program,2008,2050750
Applied Research Tools and Instruments Grants,2016,2039590
Research Capacity Development in Small Universities,2004,2029000
Industrial Undergraduate Student Research Awards,1995,2014090
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2011,2008160
Technology Partnerships Program,1997,2006093
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2008,2004983
Industrial Postgraduate Scholarships,2016,2003750
Special Research Opportunity Program - Northern Research,2006,2003648
Chairs in Design Engineering - Research,2014,2000000
Industrial Postgraduate Scholarships,1995,2000000
PromoScience,2002,1999876
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2010,1998699
Women's Faculty Awards (H),1995,1992809
Industrial Undergraduate Student Research Awards,1996,1959698
National Research Council / NSERC Research Partnership,1998,1958634
Government of Canada's Program for International Polar Year,2010,1949014
Canada International Fellowships (H),1995,1944921
Industrial Undergraduate Student Research Awards,1999,1938343
Intellectual Property Mobilization - Infrastructure,1997,1937000
Chairs in Design Engineering - Research,2006,1928001
Industrial Undergraduate Student Research Awards,1997,1919820
Industrially Oriented Research Grants,2000,1911692
Discovery Grants Program - Northern Research Supplement,2014,1911090
Discovery Grants Program - Group,1997,1903970
Discovery Grants Program - Northern Research Supplement,2008,1902838
Discovery Grants Program - Group,2013,1890000
Research Capacity Development in Small Universities,2006,1887500
"Research Tools and Instruments - Category 3 (>$325,000)",2002,1860120
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2014,1850067
College - University Idea to Innovation Grants,2012,1820600
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2009,1813703
Industrial Undergraduate Student Research Awards,1998,1809241
PromoScience,2001,1805901
EWR Steacie Fellowships - Supplement,2010,1804440
Intellectual Property Mobilization - Infrastructure,1995,1789750
EWR Steacie Fellowships - Supplement,2009,1785822
Women's Faculty Awards (H),1996,1775502
Discovery Grants Program - Group,2015,1761800
Subatomic Physics Envelope - Major Resources Support Program,2007,1758000
Technology Access Centre,2011,1749912
Chairs in Design Engineering - Research,2003,1740200
"NSERC/Energy Sector, Natural Resources Canada",2004,1739675
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",2001,1736584
Discovery Grants Program - Group,2014,1732647
University Faculty Award,2010,1720000
Banting Postdoctoral Fellowships,2013,1711859
Chairs in Design Engineering - Research,2001,1707500
Discovery Grants Program - Northern Research Supplement,2013,1675270
College - University Idea to Innovation Grants,2015,1672005
Chairs in Design Engineering - Research,2002,1665000
"NSERC/Energy Sector, Natural Resources Canada",2006,1663387
Chairs in Design Engineering - Research,2007,1652419
Subatomic Physics Envelope - Research Tools and Instruments,1995,1652340
EWR Steacie Fellowships - Supplement,2007,1649887
Special Research Opportunity Program - Project,2010,1640955
Discovery Grants Program - Northern Research Supplement,2007,1621723
Technology Partnerships Program,1999,1600499
University Faculty Award,2000,1600000
EWR Steacie Fellowships - Supplement,2008,1592507
Miscellaneous Grants,2002,1575515
Alternative Radiopharmaceuticals for Medical Imaging                                                ,2010,1573893
"Centres for Research in Youth, Science Teaching and Learning",2008,1557225
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2013,1549327
Special Research Opportunity Program - Northern Research,2007,1542186
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",2000,1541449
Banting Postdoctoral Fellowships Tri-council                                                        ,2013,1534166
Discovery Grants Program - Accelerator Grant,2004,1531472
Subatomic Physics Envelope - Research Tools and Instruments,2009,1522401
EWR Steacie Fellowships - Supplement,2015,1500000
EWR Steacie Fellowships - Supplement,2014,1500000
EWR Steacie Fellowships - Supplement,2013,1500000
EWR Steacie Fellowships - Supplement,2016,1500000
Miscellaneous Grants,1996,1494111
Discovery Grants Program - Accelerator Grant,2006,1476872
Discovery Grants Program - Accelerator Grant,2005,1474872
EWR Steacie Fellowships - Supplement,2011,1472704
Chairs in Design Engineering - Research,2015,1467000
EWR Steacie Fellowships - Supplement,2004,1464714
Applied Research and Development Grants - Level 1,2011,1451260
Northern Research Chairs Program - Grant,2004,1450000
Chairs in Design Engineering - Research,2005,1449437
Industrial Postgraduate Scholarships,1997,1447178
EWR Steacie Fellowships - Supplement,2005,1440689
Genomics Projects,2003,1438432
EWR Steacie Fellowships - Supplement,2012,1437500
Subatomic Physics Envelope -  Group,2016,1437000
Engage Plus Grants Program                                                                          ,2014,1435859
Discovery Grants Program - Northern Research Supplement,2012,1435770
Chairs in Design Engineering - Research,2008,1432494
Subatomic Physics Envelope -  Group,2015,1415000
"NSERC/Energy Sector, Natural Resources Canada",2003,1414155
Subatomic Physics Envelope -  Group,2014,1410000
Banting Postdoctoral Fellowships,2011,1403435
Cooperative Activities,1995,1398684
Miscellaneous Grants,2009,1381538
Quantum Works Innovation Platform,2010,1377170
EWR Steacie Fellowships - Supplement,2003,1376178
Subatomic Physics Envelope -  Group,2012,1375000
Discovery Grants Program - Group,2016,1371800
Engage Grants Program                                                                               ,2009,1368046
Strategic Grants - Equipment (H),1995,1360542
Quantum Works Innovation Platform,2009,1352160
Miscellaneous Grants,2005,1347129
Subatomic Physics Envelope -  Group,2013,1338000
Industrial Undergraduate Student Research Awards,2012,1337026
Engage Plus Grants Program                                                                          ,2016,1331456
Quantum Works Innovation Platform,2008,1331440
Technology Partnerships Program,1998,1315240
Other Government Chairs (H),1995,1310780
EWR Steacie Fellowships - Supplement,2006,1304140
Miscellaneous Grants,2000,1301815
Collaborative Research and Development Grants - Government (H),1996,1285417
PromoScience,2000,1265000
1967 Science and Engineering Scholarships,1997,1263718
Subatomic Physics Envelope - Research Tools and Instruments,2011,1260500
Miscellaneous Grants,2010,1254383
Genomics Projects,2004,1250342
Miscellaneous Grants,1999,1242089
College and Community Innovation Pilot Program,2006,1240030
Applied Research and Development Grants - Level 3,2016,1238086
Collaborative Research Opportunities Grants,2006,1233434
Applied Research Tools and Instruments Grants,2011,1231170
Subatomic Physics Envelope - Major Facilities Access,1997,1229000
Northern Research Chairs Program - Grant,2005,1225000
Business-led Networks of Centres of Excellence - Group,2012,1223294
Cooperative Activities,1996,1205693
Engage Plus Grants Program                                                                          ,2015,1195125
Intellectual Property Mobilization - Infrastructure,1996,1194000
Northern Research Chairs Program - Grant,2007,1191840
Technology Partnerships Program,2003,1180767
Discovery Grants Program - Ship Time,2016,1180601
Miscellaneous Grants,2003,1168002
Infrastructure Grants (H),1996,1167875
G8 Initiative Research Councils on Multilateral Research Funding,2013,1159111
Other Government Chairs (H),1996,1157574
Chairs in Design Engineering - Research,1999,1149000
EWR Steacie Fellowships - Supplement,2002,1148404
Discovery Grants Program - Northern Research Supplement,2011,1146270
Discovery Frontiers - Northern Earth System Research,2012,1140000
Subatomic Physics Envelope -  Group,2009,1120000
Canadian Institute for Theoretical Astrophysics Support Program,2016,1100000
Northern Research Chairs Program - Grant,2002,1095000
Department of National Defence / NSERC Research Partnership,2011,1092562
Subatomic Physics Envelope -  Group,2010,1090000
National Research Council / NSERC Research Partnership,2000,1075235
Miscellaneous Grants,2004,1070617
Discovery Frontiers - New Materials for Clean Energy and Energy Efficiency,2015,1070587
Discovery Frontiers - Northern Earth System Research,2014,1070000
Discovery Frontiers - Northern Earth System Research,2013,1070000
Miscellaneous Grants,2001,1069966
Quantum Works Innovation Platform,2007,1067360
Subatomic Physics Envelope -  Group,2011,1062000
Subatomic Physics Envelope - Research Tools and Instruments,2014,1057961
Discovery Grants Program - Ship Time,2015,1053277
Women's Faculty Awards (H),1997,1043130
Subatomic Physics Envelope -  Group,1998,1039500
"Centres for Research in Youth, Science Teaching and Learning",2007,1037650
Discovery Grants Program - Ship Time,2008,1034699
Special Research Opportunity Program - Inter-American Collaboration in Materials Research,2010,1031640
Subatomic Physics Envelope - Major Facilities Access,2003,1025519
"Centres for Research in Youth, Science Teaching and Learning",2005,1025400
National Research Council / NSERC Research Partnership,2003,1017370
Subatomic Physics Envelope - Major Facilities Access,2004,1017349
Chairs in the Management of Technological Change,1999,1014079
G8 Initiative Research Councils on Multilateral Research Funding,2014,1009746
Discovery Grants Program - Ship Time,2009,1007351
Miscellaneous Grants,2008,1003148
NanoIP - Project,2002,1000000
NanoIP - Project,2003,1000000
NanoIP - Project,2004,1000000
NanoIP - Project,2005,1000000
NanoIP - Project,2006,1000000
NSERC - EMPOWR Microelectronics HQP Training,2003,1000000
NSERC - EMPOWR Microelectronics HQP Training,2002,1000000
NSERC - EMPOWR Microelectronics HQP Training,2004,1000000
Discovery Frontiers - New Materials for Clean Energy and Energy Efficiency,2016,1000000
College and Community Innovation Program - Entry Level,2014,999075
National Research Council / NSERC Research Partnership,1999,995570
Applied Research Tools and Instruments Grants,2014,995521
Subatomic Physics Envelope -  Group,2004,995000
NRC-NSERC-BDC Nanotechnology Initiative,2010,994800
Technology Partnerships Program,2000,988681
Chairs in the Management of Technological Change,1998,987833
Northern Research Chairs Program - Grant,2006,985000
Subatomic Physics Envelope - Major Facilities Access,2005,982000
Subatomic Physics Envelope - Major Facilities Access,2006,977500
Subatomic Physics Envelope -  Group,1996,977500
Discovery Grants Program - Ship Time,2006,968780
EWR Steacie Fellowships - Supplement,2001,966895
Technology Partnerships Program,2002,965473
Agriculture and Agri-Food Canada Research Partnership,2003,960718
Miscellaneous Grants,1998,959565
Subatomic Physics Envelope - Research Tools and Instruments,2016,954878
Agriculture and Agri-Food Canada Research Partnership,2004,949818
Applied Research and Development Grants - Level 3,2015,946490
Agriculture and Agri-Food Canada Research Partnership,2006,945899
Department of National Defence / NSERC Research Partnership,2014,944352
Discovery Development Grant,2016,940000
Discovery Grants Program - Ship Time,2003,937589
Subatomic Physics Envelope -  Group,2003,935000
Collaborative Research and Development Grants - Government (H),1995,934091
Miscellaneous Grants,2011,923776
Women's Faculty Awards - Salary (H),1997,915000
"Centres for Research in Youth, Science Teaching and Learning",2006,915000
Subatomic Physics Envelope -  Group,1997,910500
EWR Steacie Fellowships - Supplement,2000,906010
Discovery Grants Program - Northern Research Supplement,2009,905000
Northern Research Chairs Program - Grant,2008,902156
Department of National Defence / NSERC Research Partnership,2016,900572
National Research Council / NSERC Research Partnership,2004,882375
Discovery Grants Program - Ship Time,2005,878960
Discovery Grants Program - Ship Time,2004,877094
National Research Council / NSERC Research Partnership,2005,874542
Agriculture and Agri-Food Canada Research Partnership,2008,873947
Chairs in the Management of Technological Change,2003,873113
Discovery Frontiers - Advancing Big Data Science in Genomics Research                               ,2015,866266
Department of National Defence / NSERC Research Partnership,2013,865347
New Faculty Support Grants,1997,863236
Northern Research Chair Program,2010,862936
Discovery Grants Program - Ship Time,2013,862620
Discovery Grants Program - Ship Time,2007,857964
Northern Research Chairs Program - Grant,2009,856856
Miscellaneous Grants,2006,849481
Discovery Grants Program - Accelerator Grant,2003,847072
Subatomic Physics Envelope - Major Facilities Access,2001,846859
Discovery Grants Program - Ship Time,2011,841789
Agriculture and Agri-Food Canada Research Partnership,2001,840593
Discovery Grants Program - Ship Time,2014,837753
Subatomic Physics Envelope - Major Facilities Access,2000,830679
New Faculty Support Grants,1998,826397
New Faculty Support Grants,1999,823425
Agriculture and Agri-Food Canada Research Partnership,2002,823304
Special Research Opportunity Program - Inter-American Collaboration in Materials Research,2007,818120
Miscellaneous Grants - Dissemination,2007,809746
Department of National Defence / NSERC Research Partnership,2015,808837
Synergy Awards,2011,800000
Synergy Awards,2012,800000
Synergy Awards,2010,800000
Synergy Awards,2009,800000
Synergy Awards,2008,800000
Discovery Frontiers - Advancing Big Data Science in Genomics Research                               ,2014,800000
College and Community Innovation Program - Entry Level,2016,799727
National Research Council / NSERC Research Partnership,2001,797839
College and Community Innovation Pilot Program,2005,796312
Special Research Opportunity Program - Inter-American Collaboration in Materials Research,2008,796050
Collaborative Special Project Grants,1999,795098
Subatomic Physics Envelope - Major Facilities Access,2002,794000
Chairs in the Management of Technological Change,1997,790927
Subatomic Physics Envelope -  Group,2005,790000
Subatomic Physics Envelope -  Group,2002,787000
EWR Steacie Fellowships - Salary                                                                    ,2014,785000
Alternative Radiopharmaceuticals for Medical Imaging                                                ,2009,783538
Northern Research Chair Program,2011,779654
Agriculture and Agri-Food Canada Research Partnership,1998,776235
"NSERC/Energy Sector, Natural Resources Canada",2007,767645
Discovery Frontiers - Advancing Big Data Science in Genomics Research                               ,2016,766000
Department of National Defence / NSERC Research Partnership,2009,765543
Subatomic Physics Envelope -  Group,1999,762500
New Faculty Support Grants,1995,759578
Industrial Scholarship in Partnership with the FQRNT - Master's,2013,756117
National Research Council / NSERC Research Partnership,2002,755062
Strategic Projects BIOCAP,2004,754085
Applied Research and Development Grants - Level 2,2012,752323
Fellowship Innovation Platform                                                                      ,2013,750000
Fellowship Innovation Platform                                                                      ,2014,750000
Industrial Scholarship in Partnership with the FQRNT - Master's,2014,748699
New Faculty Support Grants,1996,747510
Agriculture and Agri-Food Canada Research Partnership,2005,746878
Department of National Defence / NSERC Research Partnership,2012,740330
Northern Research Chairs Program - Grant,2003,740000
International Opportunity Fund,2000,737928
Subatomic Physics Envelope -  Group,2001,737000
Unique Initiatives Fund,2014,736075
Subatomic Physics Envelope - Major Facilities Access,2007,731500
Postgraduate Scholarships,2005,729821
Women's Faculty Awards (H),1998,729300
Industrial Scholarship in Partnership with the FQRNT - Master's,2012,725604
Discovery Grants Program - Ship Time,2010,725249
Subatomic Physics Envelope -  Group,2000,724000
University Faculty Award,1999,720000
G8 Initiative Research Councils on Multilateral Research Funding,2012,718433
Chairs in Design Engineering - Research,2000,712500
EWR Steacie Fellowships - Salary                                                                    ,2015,710000
Connect Grants Level 2,2016,707937
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2015,706982
College and Community Innovation Program - Entry Level,2010,699575
College and Community Innovation Program - Entry Level,2011,698065
WaterWorks Joint Call,2016,689930
Industrially Oriented Research Grants,2001,687262
Discovery Grants Program - Northern Research Supplement,2010,684300
Technology Partnerships Program,2004,683500
Subatomic Physics Envelope - Research Tools and Instruments,1996,682000
College - University Idea to Innovation Grants,2011,681184
University Faculty Award,2011,680000
Industrial Scholarship in Partnership with the FQRNT - Master's,2010,676949
Agriculture and Agri-Food Canada Research Partnership,2000,675996
Other Government Chairs (H),1997,673400
Miscellaneous Grants,2012,668482
Industrial Scholarship in Partnership with the FQRNT - Master's,2011,666618
Agriculture and Agri-Food Canada Research Partnership,1997,665876
Chairs in the Management of Technological Change,2000,661687
EWR Steacie Fellowships - Salary                                                                    ,2016,660000
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2014,658779
Strategic Projects BIOCAP,2005,651690
Discovery Grants Program - Northern Research Supplement,2006,650773
Subatomic Physics Envelope -  Group,2006,650000
Industrial R&D Fellowships (IRDF),2010,645287
Chairs for Women in Science and Engineering - Project,2016,645000
International Opportunity Fund,2002,644693
Industrial Scholarship in Partnership with the FQRNT - Master's,2015,639037
"Centres for Research in Youth, Science Teaching and Learning",2009,635575
NSERC/NRCan/AECL Generation IV Energy Technologies Program,2015,630020
Industrial Scholarship in Partnership with the FQRNT - Master's,2009,628939
G8 Initiative Research Councils on Multilateral Research Funding,2015,623057
Major Facilities Access Grants,2009,619750
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2006,619515
Miscellaneous Grants,1995,614204
Subatomic Physics Envelope - Research Tools and Instruments,2013,613893
Canadian Graduate Scholarships Foreign Study Supplements,2011,613889
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2013,610707
Women's Faculty Awards - Salary (H),1996,610000
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2010,609153
Subatomic Physics Envelope -  Group,2008,608000
Unique Initiatives Fund,2013,604479
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2016,603600
Synergy Awards,2014,600000
Subatomic Physics Envelope -  Group,2007,600000
Discovery Grants Program - Accelerator Grant,2007,600000
Synergy Awards,2016,600000
Synergy Awards,2013,600000
Synergy Awards,2015,600000
College and Community Innovation Program - Entry Level,2013,599960
New Faculty Support Grants,2000,599428
College and Community Innovation Program - Entry Level,2012,599130
EWR Steacie Fellowships - Supplement,1995,599000
EWR Steacie Fellowships - Supplement,1997,592675
College and Community Innovation Program - Entry Level,2015,591000
EWR Steacie Fellowships - Supplement,1996,590356
Regional Office Discretionary Funds,2015,590136
Chairs in the Management of Technological Change,2002,589527
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2007,587653
International Opportunity Fund,1999,587350
Regional Office Discretionary Funds,2013,586457
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2011,585994
Major Facilities Access Grants,2010,585000
Subatomic Physics Envelope - Research Tools and Instruments,2012,583859
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2015,581600
Discovery Grants Program - Northern Research Supplement,2005,580202
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",2002,579120
Regional Office Discretionary Funds,2014,567517
Discovery Grants Program - Multidisciplinary Network Groups,2002,564708
Discovery Grants Program - Multidisciplinary Network Groups,2001,564708
Discovery Grants Program - Multidisciplinary Network Groups,2000,564708
Department of National Defence / NSERC Research Partnership,2010,559087
International Opportunity Fund,2001,555940
Fuel Cell Technology Program - Chair Project,2004,555000
Fuel Cell Technology Program - Chair Project,2003,555000
Applied Research and Development Grants - Level 3,2014,549983
Regional Office Discretionary Funds,2012,549895
Subatomic Physics Envelope - Research Tools and Instruments,2010,549604
Parental Leave - Scholarships & Fellowships,2015,549179
Partnerships Innovation Platform                                                                    ,2015,546000
Partnerships Innovation Platform                                                                    ,2014,546000
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2012,542757
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2010,540979
Discovery Development Grant,2015,540000
Regional Office Discretionary Funds,2011,539539
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2004,539340
Agriculture and Agri-Food Canada Research Partnership,2007,539158
Canadian Forest Service Research Partnership,2000,535990
EWR Steacie Fellowships - Supplement,1999,534500
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2009,534153
Strategic Workshops Program,2014,530445
Technology Partnerships Program,2001,528746
Department of National Defence / NSERC Research Partnership,1997,526650
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2008,517668
Discovery Grants Program - Ship Time,2012,515723
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2014,512000
Canadian Graduate Scholarships Foreign Study Supplements,2015,511750
"NSERC/Energy Sector, Natural Resources Canada",2002,510718
Other Government Chairs (H),1998,509450
Special Research Opportunity Program - Inter-American Collaboration in Materials Research,2009,508320
EWR Steacie Fellowships - Supplement,1998,504400
Discovery Grants Program - Northern Research Supplement,2004,500968
Discovery Frontiers - Northern Earth System Research,2015,500000
Discovery Frontiers - Northern Earth System Research,2011,500000
College and Community Innovation Pilot Program,2004,500000
1967 Science and Engineering Scholarships,1998,499621
Agriculture and Agri-Food Canada Research Partnership,1999,493913
Canadian Forest Service Research Partnership,2004,491765
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2009,488587
Special Research Opportunity Program - Inter-American Collaboration in Materials Research,2005,486605
Canadian Graduate Scholarships Foreign Study Supplements,2012,483043
Chairs for Women in Science and Engineering - Project,2011,480000
Canadian Graduate Scholarships Foreign Study Supplements,2009,477939
Joint Infrastructure Interdependencies Research Program,2004,476966
Special Research Opportunity Program - Inter-American Collaboration in Materials Research,2006,476755
Chairs for Women in Science and Engineering - Project,2015,475000
Joint Infrastructure Interdependencies Research Program,2006,469628
Unique Initiatives Fund,2015,469372
Canadian Forest Service Research Partnership,2002,462155
Industrial Scholarship in Partnership with the FQRNT- Doctoral,2016,460316
Fuel Cell Technology Program - Chair Project,2005,459000
Attachés de recherche (H),1995,456830
Department of National Defence / NSERC Research Partnership,1998,454258
Industrial Scholarship in Partnership with the FQRNT - Master's,2008,452144
Canadian Graduate Scholarships Foreign Study Supplements,2016,452029
Department of National Defence / NSERC Research Partnership,1999,451780
Women's Faculty Awards (H),1999,451144
Quantum Works Innovation Platform,2006,450741
NRC-NSERC-BDC Nanotechnology Initiative,2011,450000
Strategic Workshops Program,2008,444789
"NSERC/Energy Sector, Natural Resources Canada",2008,444002
Canadian Forest Service Research Partnership,2005,442517
Canadian Forest Service Research Partnership,2001,437400
Chairs for Women in Science and Engineering - Project,2013,435000
Canadian Forest Service Research Partnership,2006,434250
Parental Leave - Research Grants,2015,429303
Canadian Graduate Scholarships Foreign Study Supplements,2013,428856
Canadian Graduate Scholarships Foreign Study Supplements,2014,426317
New Media Initiatives,2004,425950
Agriculture and Agri-Food Canada Research Partnership,2009,423223
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2003,415825
Chairs in the Management of Technological Change,2005,414666
Canadian Forest Service Research Partnership,1998,414534
Strategic Workshops Program,2012,413336
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2013,412000
Gerhard Herzberg Canada Gold Medal for Science and Engineering,2005,410340
Partnerships Innovation Platform                                                                    ,2016,408000
Chairs in the Management of Technological Change,2004,406367
Strategic Workshops Program,2013,405794
Idea to Innovation,2003,401092
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2011,400000
Fuel Cell Technology Program - Chair Project,2006,400000
Regional Office Discretionary Funds,2010,399168
Micronet Research Partnership,1997,397000
Canadian Forest Service Research Partnership,1999,394716
Parental Leave - Scholarships & Fellowships,2016,393685
Canada International Fellowships (H),1996,391440
Unique Initiatives Fund,2016,390380
Department of National Defence / NSERC Research Partnership,2004,388460
University Undergraduate Student Research Awards,1996,385830
University Undergraduate Student Research Awards,1997,385200
University Undergraduate Student Research Awards,1998,380829
New Media Initiatives,2005,379780
Research Management Funds - Group,2005,375000
Department of National Defence / NSERC Research Partnership,2008,374160
Parental Leave - Research Grants,2016,372365
Chairs for Women in Science and Engineering - Project,2014,370000
Connect Grants Level 3,2016,369248
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2013,365000
Infrastructure Grants (H),1997,364813
Canadian Forest Service Research Partnership,2003,364025
Joint Infrastructure Interdependencies Research Program,2007,363512
Chairs for Women in Science and Engineering - Project,2012,360000
National Research Council / NSERC Research Partnership,2006,359597
Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering,2016,358333
Parental Leave - Scholarships & Fellowships,2012,356528
